city,party,age,election,men_population,women_population,hispanic_population,white_population,black_population,native_population,asian_population,pacific_population,voted_cnt,not_voted_cnt,total_population
BEDFORD,DEM,98,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,8,0,12868
BEDFORD,DEM,97,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,12,0,12868
BEDFORD,DEM,96,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,4,0,12868
BEDFORD,DEM,95,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,16,0,12868
BEDFORD,DEM,94,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,4,0,12868
BEDFORD,DEM,93,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,40,0,12868
BEDFORD,DEM,92,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,28,0,12868
BEDFORD,DEM,91,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,32,4,12868
BEDFORD,DEM,90,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,56,0,12868
BEDFORD,DEM,89,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,16,0,12868
BEDFORD,DEM,88,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,44,0,12868
BEDFORD,DEM,87,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,48,0,12868
BEDFORD,DEM,86,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,44,0,12868
BEDFORD,DEM,85,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,44,4,12868
BEDFORD,DEM,84,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,24,4,12868
BEDFORD,DEM,83,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,44,4,12868
BEDFORD,DEM,82,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,48,0,12868
BEDFORD,DEM,81,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,44,0,12868
BEDFORD,DEM,80,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,64,0,12868
BEDFORD,DEM,79,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,56,4,12868
BEDFORD,DEM,78,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,72,0,12868
BEDFORD,DEM,77,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,68,8,12868
BEDFORD,DEM,76,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,60,8,12868
BEDFORD,DEM,75,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,40,0,12868
BEDFORD,DEM,74,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,40,8,12868
BEDFORD,DEM,73,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,88,12,12868
BEDFORD,DEM,72,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,64,4,12868
BEDFORD,DEM,71,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,60,12,12868
BEDFORD,DEM,70,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,108,12,12868
BEDFORD,DEM,69,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,108,8,12868
BEDFORD,DEM,68,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,72,12,12868
BEDFORD,DEM,67,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,100,16,12868
BEDFORD,DEM,66,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,68,24,12868
BEDFORD,DEM,65,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,116,16,12868
BEDFORD,DEM,64,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,88,20,12868
BEDFORD,DEM,63,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,92,36,12868
BEDFORD,DEM,62,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,96,20,12868
BEDFORD,DEM,61,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,80,8,12868
BEDFORD,DEM,60,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,76,8,12868
BEDFORD,DEM,59,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,80,24,12868
BEDFORD,DEM,58,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,88,0,12868
BEDFORD,DEM,57,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,72,8,12868
BEDFORD,DEM,56,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,80,16,12868
BEDFORD,DEM,55,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,56,16,12868
BEDFORD,DEM,54,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,40,16,12868
BEDFORD,DEM,53,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,16,8,12868
BEDFORD,DEM,52,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,48,4,12868
BEDFORD,DEM,51,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,52,20,12868
BEDFORD,DEM,50,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,28,12,12868
BEDFORD,DEM,49,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,48,4,12868
BEDFORD,DEM,48,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,20,4,12868
BEDFORD,DEM,47,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,28,16,12868
BEDFORD,DEM,46,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,12,8,12868
BEDFORD,DEM,45,Nov 06 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,24,4,12868
BEDFORD,DEM,98,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,8,0,12868
BEDFORD,DEM,97,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,12,0,12868
BEDFORD,DEM,96,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,4,0,12868
BEDFORD,DEM,95,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,4,12,12868
BEDFORD,DEM,94,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,4,0,12868
BEDFORD,DEM,93,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,24,16,12868
BEDFORD,DEM,92,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,8,20,12868
BEDFORD,DEM,91,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,20,16,12868
BEDFORD,DEM,90,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,16,40,12868
BEDFORD,DEM,89,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,4,12,12868
BEDFORD,DEM,88,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,20,24,12868
BEDFORD,DEM,87,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,24,24,12868
BEDFORD,DEM,86,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,28,16,12868
BEDFORD,DEM,85,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,24,24,12868
BEDFORD,DEM,84,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,12,16,12868
BEDFORD,DEM,83,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,16,32,12868
BEDFORD,DEM,82,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,24,24,12868
BEDFORD,DEM,81,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,16,28,12868
BEDFORD,DEM,80,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,36,28,12868
BEDFORD,DEM,79,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,32,28,12868
BEDFORD,DEM,78,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,32,40,12868
BEDFORD,DEM,77,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,36,40,12868
BEDFORD,DEM,76,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,24,44,12868
BEDFORD,DEM,75,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,20,20,12868
BEDFORD,DEM,74,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,16,32,12868
BEDFORD,DEM,73,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,52,48,12868
BEDFORD,DEM,72,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,24,44,12868
BEDFORD,DEM,71,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,28,44,12868
BEDFORD,DEM,70,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,60,60,12868
BEDFORD,DEM,69,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,52,64,12868
BEDFORD,DEM,68,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,32,52,12868
BEDFORD,DEM,67,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,28,88,12868
BEDFORD,DEM,66,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,32,60,12868
BEDFORD,DEM,65,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,32,100,12868
BEDFORD,DEM,64,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,32,76,12868
BEDFORD,DEM,63,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,36,92,12868
BEDFORD,DEM,62,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,28,88,12868
BEDFORD,DEM,61,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,20,68,12868
BEDFORD,DEM,60,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,24,60,12868
BEDFORD,DEM,59,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,28,76,12868
BEDFORD,DEM,58,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,28,60,12868
BEDFORD,DEM,57,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,32,48,12868
BEDFORD,DEM,56,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,32,64,12868
BEDFORD,DEM,55,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,36,36,12868
BEDFORD,DEM,54,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,12,44,12868
BEDFORD,DEM,53,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,4,20,12868
BEDFORD,DEM,52,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,12,40,12868
BEDFORD,DEM,51,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,8,64,12868
BEDFORD,DEM,50,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,8,32,12868
BEDFORD,DEM,49,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,12,40,12868
BEDFORD,DEM,48,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,4,20,12868
BEDFORD,DEM,47,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,4,40,12868
BEDFORD,DEM,46,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,4,16,12868
BEDFORD,DEM,45,Nov 07 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,8,20,12868
BEDFORD,DEM,98,Nov 08 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,8,0,12868
BEDFORD,DEM,97,Nov 08 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,8,4,12868
BEDFORD,DEM,96,Nov 08 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,4,0,12868
BEDFORD,DEM,95,Nov 08 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,16,0,12868
BEDFORD,DEM,94,Nov 08 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,4,0,12868
BEDFORD,DEM,93,Nov 08 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,40,0,12868
BEDFORD,DEM,92,Nov 08 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,28,0,12868
BEDFORD,DEM,91,Nov 08 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,32,4,12868
BEDFORD,DEM,90,Nov 08 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,56,0,12868
BEDFORD,DEM,89,Nov 08 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,16,0,12868
BEDFORD,DEM,88,Nov 08 Election,5978,6890,7.50,179.30,201.20,0.00,3.80,0.00,44,0,12868
