CensusTract,Total_Employed,PrivateWork,PublicWork,SelfEmployed
39035101101,567,89.6,9.3,1.1
39035101102,2790,78.5,20.5,1
39035101200,899,82.9,12,5.1
39035101300,861,90.6,8.2,1.2
39035101400,782,84.9,9.8,5.2
39035101501,932,88,6.1,5.9
39035101603,824,90.2,6.7,3.2
39035101700,927,92.2,3.5,4.3
39035101800,700,83.6,15.4,1
39035101901,743,83.7,15.5,0.8
39035102101,1061,94,4.1,2
39035102102,1210,81.3,14.4,2.2
39035102200,1191,84.8,7.5,7.7
39035102300,980,87.4,9.2,3.4
39035102401,853,92.6,5.7,1.6
39035102402,1094,90.5,5.2,4.3
39035102700,1213,79.5,15.3,5.2
39035102800,567,83.4,9.9,5.8
39035102900,688,83.9,16.1,0
39035103100,555,88.8,4.7,6.5
39035103300,1068,83,14.9,2.2
39035103400,1169,88.9,9,2.1
39035103500,865,84,10.6,5.3
39035103602,1677,84.9,9.2,5.5
39035103800,656,85.4,13.3,1.4
39035103900,622,83,13.5,3.5
39035104100,365,92.1,5.8,2.2
39035104200,747,77.9,21,1.1
39035104300,1299,86.2,8,5.8
39035104400,713,88.5,9.1,2.4
39035104600,404,87.1,9.4,3.5
39035104800,866,88.6,7.7,3.7
39035104900,766,90.3,4.8,4.8
39035105100,1268,92.7,3.4,3.9
39035105300,763,83.6,11.5,4.8
39035105400,1411,77.5,17.6,4.9
39035105500,882,90.5,7.5,2
39035105602,941,87.1,6.4,6.5
39035105700,1665,80.4,15.9,3.8
39035105900,1555,88.6,9.1,2.3
39035106100,1940,80.1,17.7,2.3
39035106200,1737,81.2,17.4,1.4
39035106300,1350,94.7,4.7,0.6
39035106400,501,78.4,12.4,9.2
39035106500,1290,87.5,8.6,3.9
39035106600,1730,87.6,9,3.4
39035106800,1035,91.1,6.9,2
39035106900,1925,81.5,15.5,3
39035107000,922,77.8,18.2,4
39035107101,1952,90.6,7.2,2.2
39035107701,1511,88.1,9.3,2.6
39035107802,1457,84.6,14,1.4
39035108201,721,87.9,11.1,1
39035108301,829,87.7,9,3.3
39035108400,468,82.7,14.1,3.2
39035108701,668,88.2,9.6,0
39035109301,374,79.1,19.5,1.3
39035109701,370,95.1,4.9,0
39035109801,373,85.3,14.7,0
39035110501,228,78.5,8.8,12.7
39035110801,424,86.3,9.7,4
39035110901,901,84,15,1
39035111202,619,84.8,12.6,2.6
39035111401,335,81.2,18.8,0
39035111500,342,75.4,15.8,8.8
39035111600,257,96.1,2.7,1.2
39035111700,302,69.9,16.2,13.9
39035111800,299,91.3,8.7,0
39035111902,154,92.9,7.1,0
39035112100,349,95.7,4.3,0
39035112200,240,67.1,21.3,11.7
39035112301,331,75.2,15.1,9.7
39035112400,530,72.6,23.8,3.6
39035112500,374,67.9,25.1,7
39035112600,249,75.5,19.3,5.2
39035112800,208,89.4,10.6,0
39035113101,112,100,0,0
39035113500,290,79.3,14.5,6.2
39035113600,295,76.6,21,2.4
39035113801,370,69.2,24.6,6.2
39035114100,169,88.8,9.5,1.8
39035114300,301,93.7,3.7,2.7
39035114501,398,86.7,12.1,1.3
39035114600,392,76.5,18.4,5.1
39035114700,130,93.8,6.2,0
39035114900,578,89.6,8.5,1.9
39035115100,418,86.8,10.8,2.4
39035115200,303,87.5,5.3,7.3
39035115300,281,81.1,6,12.8
39035115400,575,86.3,8,4.5
39035115700,433,88.7,8.8,2.5
39035115800,960,90.9,4.3,4.8
39035115900,1505,76.9,20.7,2.5
39035116100,244,78.7,19.7,1.6
39035116200,319,75.2,22.6,2.2
39035116300,556,73,27,0
39035116400,831,82.3,14.2,3.5
39035116500,680,82.9,11.5,5.6
39035116600,739,72,28,0
39035116700,431,79.1,18.6,2.3
39035116800,842,76.2,12.8,10.9
39035116900,328,85.4,14.6,0
39035117101,1063,81.5,17,1.5
39035117102,358,67,33,0
39035117201,562,77.8,18.7,3.6
39035117202,872,82.3,16.4,1.3
39035117300,720,75.4,16,8.6
39035117400,423,81.3,15.8,2.8
39035117500,1186,79.7,15.4,4.9
39035117600,1398,66.3,29.3,4.4
39035117700,2117,78.9,17.2,3.8
39035117800,843,92.6,6.2,1.2
39035117900,879,74.2,20,5.8
39035118101,504,69.6,25.4,5
39035118200,571,78.5,15.2,6.3
39035118301,823,70.1,24.2,5.7
39035118400,482,84.4,13.1,2.5
39035118500,321,80.1,16.5,3.4
39035118602,265,93.6,2.3,4.2
39035118700,1683,96.8,2.9,0.4
39035118800,1258,91.3,6.7,2
39035118900,648,79.9,7.1,13
39035119100,60,100,0,0
39035119202,234,82.5,17.5,0
39035119300,943,86.1,12.1,1.8
39035119401,718,60.9,27.3,11.8
39035119402,678,90.3,5.3,4.4
39035119501,1222,85.1,8.3,6.5
39035119502,893,72.1,22.7,5.2
39035119600,649,73.7,20,6.3
39035119701,578,72.5,25.4,2.1
39035119702,542,70.1,18.3,11.6
39035119800,989,72.9,19.7,7.1
39035119900,553,83.4,11.4,5.2
39035120200,618,89.3,10.7,0
39035120400,559,80.5,13.1,6.4
39035120500,738,79.9,18,2
39035120600,724,72.8,20.9,5.2
39035120701,431,64.5,29.5,6
39035120702,558,80.1,16.5,3.4
39035120801,810,86,14,0
39035120802,788,83.4,14.2,2.4
39035121100,772,76,19.3,4.7
39035121200,595,90.8,8.2,1
39035121300,547,86.1,9.1,4.8
39035121401,522,71.1,27.6,1.3
39035121403,734,86.8,12.1,1.1
39035121500,992,80,14.2,5.7
39035121700,1347,73.7,22,4.2
39035121800,579,70.5,28.7,0.9
39035121900,381,63,25.7,11.3
39035122100,1244,78.7,12.4,8
39035122200,652,78.5,19.3,2.1
39035122300,563,80.1,15.6,4.3
39035123100,1500,75.7,18.2,6.1
39035123200,1709,82.6,14.2,3.2
39035123400,2071,82,14.6,3.4
39035123501,1439,83.1,13.4,3.5
39035123502,1316,88.8,9.6,1.7
39035123601,1569,72.7,24.5,2.9
39035123602,1346,79.2,17.6,3.2
39035123603,1694,75.7,20.7,3.5
39035123700,1273,88,10.7,1.3
39035123800,711,89.3,7.6,3.1
39035123900,1207,84.6,6.4,9
39035124100,2243,84,12.9,3.2
39035124201,1281,87,10,3
39035124202,620,90.2,9.8,0
39035124300,2068,80.4,17.6,1.3
39035124500,1924,72.3,21.5,6.2
39035124600,1505,89.8,5.8,4.4
39035126100,1339,76,22.4,1.6
39035127501,950,81.1,9.2,9.8
39035130103,2257,76.2,13.2,8.7
39035130104,2141,80.5,14.8,4.7
39035130105,1686,83.3,13.6,3
39035130106,1885,76.2,16.9,6.9
39035131102,1394,80.2,11.2,8.6
39035131103,2055,83.1,11.3,5.6
39035131104,1794,84.8,3.8,11.3
39035132100,2242,93.8,5.7,0.5
39035132200,1485,77,19.6,3.4
39035132301,1971,85.3,13.2,1.5
39035132302,893,84.1,10.3,5.6
39035133103,1415,84.2,11,4.9
39035133104,1142,87,12.4,0.5
39035134100,802,84,13.1,2.9
39035134203,1797,85.4,8.9,5.7
39035134204,2265,88.1,8.4,3.4
39035134205,1534,76.1,17.2,6.7
39035134206,1546,86.4,10.8,2.8
39035134300,2007,84.9,8.7,6.5
39035135103,1145,81.2,12.8,4.9
39035135104,2203,77.6,15.3,7
39035135105,2870,84.1,11.3,4.6
