CensusTract,Total_Population,Hispanic,White,Black,Native,Asian,Pacific
39035101101,1903,13.8,34.6,35.2,0,13.1,0
39035101102,4516,2.6,65.7,24.9,0.2,0,0
39035101200,2640,22.5,53.7,22.2,0.4,0,0
39035101300,1897,13.5,46.4,29.5,2.1,0.3,0
39035101400,1932,20.7,50.2,19.5,1.2,5.7,0
39035101501,2561,27.8,35,29.3,0.3,2.3,0
39035101603,2571,28.2,35.5,35.3,0,0,0
39035101700,2625,28.5,33.9,36.5,0.6,0,0
39035101800,2331,16.8,51.4,27.9,0,0.3,0
39035101901,1706,28.7,45.4,22.5,0,1.6,0
39035102101,2957,17.8,47.1,29.9,0.2,0,0
39035102102,2819,28.2,39.1,21.5,1.8,5,0
39035102200,2824,27.1,41.2,21,0.2,1.1,0
39035102300,2261,31.1,37.2,25.7,0.2,2.7,0
39035102401,2271,38.5,38.6,16.5,0,1.2,0
39035102402,3459,20.3,36.5,32.8,0,4.2,0
39035102700,4385,29.3,38.5,29.7,0,0.9,0
39035102800,1956,36.8,29.9,30.9,0.6,0.8,0
39035102900,2112,50.9,37.9,7.3,0,1.1,0
39035103100,1215,33.1,47.3,11.9,0,0.8,0
39035103300,2468,6.6,26.7,62.7,0,2.1,0
39035103400,2364,30.9,42.6,25.7,0,0.3,0
39035103500,1782,22.6,63.5,12,0,0,0
39035103602,3270,7,63,24.3,0.5,2.8,0
39035103800,1738,27.4,52.6,15.5,0,0.4,0
39035103900,2033,42.4,35.6,18.2,0,0,0
39035104100,896,48.2,35.2,11.6,1.9,0,0
39035104200,1174,9.5,48.2,39.7,0.6,0.4,0
39035104300,1904,3.3,79,14.1,0.6,1.7,0
39035104400,1383,4.3,76.4,12.1,0,1.7,0
39035104600,1089,32,42.4,20.7,0,0,0
39035104800,1916,36.5,41,18.4,0,1,0
39035104900,2232,47.9,36.4,10.7,0,2.6,0
39035105100,3678,28.3,53,13.1,0,0,0
39035105300,2860,50,44.3,4.5,0,0,0
39035105400,3570,34.4,44.8,15.9,0,0,0
39035105500,2035,26.3,54.3,13.7,0.2,0,0
39035105602,2443,24.6,34.3,30,0.3,4.1,0
39035105700,4318,11,72.4,12.7,0,2.1,0
39035105900,3349,14.9,79.5,3.7,0,0.3,0
39035106100,3719,23.2,65.3,8,0,0.9,0
39035106200,3686,18.7,67.1,6.6,0.3,2.3,0
39035106300,2941,19.3,64.6,8.2,0,2.2,0
39035106400,1111,18.5,68.7,9.3,0.5,0,0
39035106500,2530,16.3,78.2,3.1,0.8,0,0
39035106600,3767,14.1,80.4,3.6,0,0,0
39035106800,2731,28.3,48.3,20.6,0,0,0.7
39035106900,3663,11.9,81.6,4.8,0,0.6,0
39035107000,1629,11.5,83.9,1.9,0,1.6,0
39035107101,4659,5.6,52.1,38.7,0.3,1.4,0
39035107701,2311,1.7,59.5,24.4,1.2,7.3,0
39035107802,4344,4.4,40.3,33.9,0.2,14.7,0
39035108201,1512,4.9,60.2,20.3,0,10.8,0
39035108301,1547,9.2,21.5,23.3,0,37.4,0
39035108400,1195,11.8,25.3,22.3,1.1,37.9,0
39035108701,4322,1.5,2.7,93,0.2,0,0
39035109301,1321,5.9,7.8,85.3,0.5,0,0
39035109701,2549,1.6,14.6,82,0,0,0
39035109801,2005,0,0,98.8,0.6,0,0
39035110501,756,25.4,43.1,26.7,2.1,1.2,0
39035110801,1195,17.8,33.9,48.2,0,0.1,0
39035110901,3378,5.3,45.2,48,0.1,0.2,0
39035111202,1247,9.8,14.8,61,0,0.9,0
39035111401,1073,0,0.7,96.1,0,0,0
39035111500,828,2.3,27.7,65.3,0,4,0
39035111600,972,2,12.4,83.4,2.2,0,0
39035111700,1067,15,11.9,73.1,0,0,0
39035111800,743,2.7,2,95.3,0,0,0
39035111902,719,0,6.3,92.9,0.8,0,0
39035112100,1941,0.6,3.5,92.4,2.2,0,0
39035112200,1097,3.6,0.3,96.1,0,0,0
39035112301,1452,4.5,12.8,82,0,0,0
39035112400,1044,5.6,1.4,92.5,0,0,0
39035112500,1306,0,4.8,92,1.2,0.9,0
39035112600,1030,0,4.5,91,0,0,0
39035112800,1028,2.2,3.2,90.4,0,1.2,0
39035113101,702,1.6,13.4,85,0,0,0
39035113500,1218,0,0,98.4,1.6,0,0
39035113600,929,0,7.2,90.4,0.8,0,0
39035113801,1765,1.6,3.6,93.7,0,0.7,0
39035114100,929,3.2,0.5,96.2,0,0,0
39035114300,1648,0,0,99.6,0,0,0
39035114501,1032,0.1,3.2,96.6,0,0,0
39035114600,1200,0,45.4,53.9,0,0.7,0
39035114700,479,7.3,0,87.9,2.5,0,0
39035114900,1880,11.5,35.3,49.4,0.4,0,0
39035115100,1313,11.7,37.5,50.3,0,0,0
39035115200,938,12.8,26.7,59.4,0,0,0
39035115300,880,0.8,18.1,79.9,0,1.3,0
39035115400,1659,3,53.7,42.4,0,0,0
39035115700,1479,3.8,40.6,49.6,0,0,0
39035115800,3115,4.3,48.8,45.6,0.3,0,0
39035115900,3895,2.1,38.9,58,0,0,0
39035116100,936,0.3,0.2,97.4,1.2,0.9,0
39035116200,1025,0.6,0.5,96.5,0,0,0
39035116300,1739,0,0.6,99.1,0,0,0
39035116400,3158,0.7,1.5,94.9,0,0,0
39035116500,1932,0.1,0,98.6,0,0,0
39035116600,2419,1.4,0.2,96.9,0,0,0
39035116700,1650,2.2,1.5,93.5,0,0,0
39035116800,2327,0,3.6,96.1,0.3,0,0
39035116900,1352,0,3.5,88.4,1.1,0,0
39035117101,2581,2.2,15.8,76.2,0,2.1,0
39035117102,1191,0,3.6,96.4,0,0,0
39035117201,3043,0.6,16.2,82.7,0,0,0
39035117202,1864,3.6,12.4,83.9,0,0,0
39035117300,2388,3.2,5.4,89.8,0,0.3,0
39035117400,1590,0,10.9,87.2,0,0.9,0
39035117500,2938,0,14.4,81.3,0,0.2,0
39035117600,2836,2.8,24.5,67.6,0,0,0
39035117700,4433,0.8,50.7,45.4,0,3.1,0
