CensusTract,Total_Population,Men,Women
39035101101,1903,949,954
39035101102,4516,2348,2168
39035101200,2640,1358,1282
39035101300,1897,973,924
39035101400,1932,893,1039
39035101501,2561,1286,1275
39035101603,2571,1134,1437
39035101700,2625,1090,1535
39035101800,2331,1170,1161
39035101901,1706,798,908
39035102101,2957,1357,1600
39035102102,2819,1345,1474
39035102200,2824,1405,1419
39035102300,2261,1111,1150
39035102401,2271,1099,1172
39035102402,3459,1629,1830
39035102700,4385,2104,2281
39035102800,1956,802,1154
39035102900,2112,1124,988
39035103100,1215,719,496
39035103300,2468,1018,1450
39035103400,2364,1140,1224
39035103500,1782,904,878
39035103602,3270,1894,1376
39035103800,1738,813,925
39035103900,2033,983,1050
39035104100,896,528,368
39035104200,1174,556,618
39035104300,1904,817,1087
39035104400,1383,676,707
39035104600,1089,590,499
39035104800,1916,896,1020
39035104900,2232,1108,1124
39035105100,3678,1712,1966
39035105300,2860,1367,1493
39035105400,3570,1756,1814
39035105500,2035,956,1079
39035105602,2443,1258,1185
39035105700,4318,2107,2211
39035105900,3349,1690,1659
39035106100,3719,1775,1944
39035106200,3686,1860,1826
39035106300,2941,1426,1515
39035106400,1111,556,555
39035106500,2530,1290,1240
39035106600,3767,1836,1931
39035106800,2731,1196,1535
39035106900,3663,1863,1800
39035107000,1629,718,911
39035107101,4659,3612,1047
39035107701,2311,1340,971
39035107802,4344,2283,2061
39035108201,1512,831,681
39035108301,1547,740,807
39035108400,1195,567,628
39035108701,4322,1884,2438
39035109301,1321,721,600
39035109701,2549,828,1721
39035109801,2005,828,1177
39035110501,756,448,308
39035110801,1195,514,681
39035110901,3378,1504,1874
39035111202,1247,765,482
39035111401,1073,496,577
39035111500,828,415,413
39035111600,972,441,531
39035111700,1067,415,652
39035111800,743,332,411
39035111902,719,275,444
39035112100,1941,954,987
39035112200,1097,547,550
39035112301,1452,859,593
39035112400,1044,440,604
39035112500,1306,634,672
39035112600,1030,461,569
39035112800,1028,439,589
39035113101,702,331,371
39035113500,1218,411,807
39035113600,929,502,427
39035113801,1765,831,934
39035114100,929,433,496
39035114300,1648,631,1017
39035114501,1032,450,582
39035114600,1200,588,612
39035114700,479,168,311
39035114900,1880,1001,879
39035115100,1313,570,743
39035115200,938,455,483
39035115300,880,476,404
39035115400,1659,842,817
39035115700,1479,734,745
39035115800,3115,1531,1584
39035115900,3895,1647,2248
39035116100,936,367,569
39035116200,1025,529,496
39035116300,1739,722,1017
39035116400,3158,1477,1681
39035116500,1932,1098,834
39035116600,2419,1236,1183
39035116700,1650,786,864
39035116800,2327,1019,1308
39035116900,1352,595,757
39035117101,2581,1228,1353
39035117102,1191,545,646
39035117201,3043,1203,1840
39035117202,1864,827,1037
39035117300,2388,1208,1180
39035117400,1590,614,976
39035117500,2938,1362,1576
39035117600,2836,1451,1385
39035117700,4433,2116,2317
39035117800,2215,918,1297
39035117900,2359,1013,1346
39035118101,2029,977,1052
39035118200,1684,820,864
39035118301,2287,981,1306
39035118400,1573,668,905
39035118500,879,416,463
39035118602,1660,728,932
39035118700,3940,1901,2039
39035118800,2894,1619,1275
39035118900,1665,741,924
39035119100,142,89,53
39035119202,1197,549,648
39035119300,3615,1526,2089
39035119401,1921,885,1036
39035119402,1760,833,927
39035119501,2674,1303,1371
39035119502,1845,811,1034
39035119600,2000,1026,974
39035119701,1513,721,792
39035119702,1758,774,984
39035119800,3239,1454,1785
39035119900,1734,714,1020
39035120200,2652,1376,1276
39035120400,2306,1201,1105
39035120500,2629,1351,1278
39035120600,2627,1260,1367
39035120701,1438,784,654
39035120702,1675,772,903
39035120801,2042,742,1300
39035120802,2052,953,1099
39035121100,2539,1027,1512
39035121200,1736,812,924
39035121300,2196,1095,1101
39035121401,1806,825,981
39035121403,2525,1018,1507
39035121500,3149,1386,1763
39035121700,3670,1458,2212
39035121800,1838,807,1031
39035121900,1272,563,709
39035122100,3311,1586,1725
39035122200,1714,693,1021
39035122300,1750,736,1014
39035123100,2574,1142,1432
