CensusTract,Median_Household_Income,Income_Per_Capita,Under_Poverty_Level_Percentage
39035101101,16553,12081,57.2
39035101102,39528,34094,11.2
39035101200,18262,16663,43.3
39035101300,19872,19636,39.6
39035101400,28043,14137,29.8
39035101501,25056,12777,46.9
39035101603,20500,11032,49.8
39035101700,27862,15009,36.7
39035101800,18609,11875,51.8
39035101901,35982,20148,33.4
39035102101,28986,15104,36.6
39035102102,32143,15207,21.8
39035102200,37109,20512,21.6
39035102300,34412,13553,30
39035102401,30676,12648,49
39035102402,27644,10795,41.2
39035102700,24413,10445,48.4
39035102800,18099,8875,61.6
39035102900,25909,12964,37.8
39035103100,32692,18242,46.7
39035103300,28998,29856,55.8
39035103400,25677,19707,43
39035103500,33469,22946,27
39035103602,37026,32928,34.6
39035103800,27328,14928,29.4
39035103900,21366,12564,48.5
39035104100,14286,15835,45.5
39035104200,35795,35318,37.1
39035104300,74605,50102,22.3
39035104400,31250,22107,45.8
39035104600,18938,14588,36.5
39035104800,29457,14678,40.5
39035104900,27143,13247,46.8
39035105100,24631,13629,30.5
39035105300,17453,10250,53.5
39035105400,25618,15479,31.5
39035105500,23679,11985,43.5
39035105602,21050,11628,44
39035105700,25253,19653,29.8
39035105900,43457,20816,20
39035106100,48568,22806,14.3
39035106200,37244,24422,23.6
39035106300,32726,16229,22.1
39035106400,31442,21041,18.8
39035106500,46642,23830,10
39035106600,32583,17436,29.7
39035106800,15373,12635,46.1
39035106900,42696,26021,21.2
39035107000,60625,33189,4.4
39035107101,64398,37307,21.8
39035107701,45033,47643,31.1
39035107802,11440,19536,60.4
39035108201,33906,40245,28.1
39035108301,25495,14893,36.1
39035108400,21940,13618,40.8
39035108701,9587,6257,73.9
39035109301,9928,12796,61.3
39035109701,10237,3846,81.3
39035109801,7215,5113,76.3
39035110501,14926,11073,46.7
39035110801,26705,11710,31.7
39035110901,23444,12165,54.1
39035111202,23942,13222,36.6
39035111401,22568,10634,43.7
39035111500,15250,21176,48.6
39035111600,14069,8385,63.9
39035111700,17303,9014,52.5
39035111800,23043,13066,43.3
39035111902,15179,8581,55.4
39035112100,12798,9624,62.3
39035112200,20094,10816,46.6
39035112301,9680,11868,55
39035112400,40547,21127,16.9
39035112500,19628,13534,45.1
39035112600,12417,7869,67.5
39035112800,15813,19510,46.8
39035113101,13469,11746,46.6
39035113500,17018,10752,53.4
39035113600,26250,14607,35.7
39035113801,13630,8731,61.3
39035114100,11417,8798,47
39035114300,4470,5235,86.7
39035114501,17738,13219,45.7
39035114600,26500,12817,36.7
