CensusTract,Total_Employed,Professional_Workers_Percentage,Service_Workers_percentage,Office_Workers_Percentage,Construction_Workers_Percentage,Production_Workers_Percentage
39035101101,567,22.4,40.2,13.8,2.5,21.2
39035101102,2790,38.6,24.9,27.1,3.6,5.8
39035101200,899,30.6,16.9,29.8,10.8,11.9
39035101300,861,26.2,31.4,15.3,0,27.1
39035101400,782,18.5,28.6,18.2,6.4,28.3
39035101501,932,18.5,30.3,22.3,7.7,21.2
39035101603,824,15.3,22.1,24.6,5.8,32.2
39035101700,927,20.1,22.5,31.7,5.4,20.3
39035101800,700,23,19.4,35.1,12.7,9.7
39035101901,743,49.7,16.3,18.8,2.6,12.7
39035102101,1061,12.9,32,20.9,6.5,27.7
39035102102,1210,15.2,32.4,22.6,0.9,28.9
39035102200,1191,26.2,32.2,7.3,9,25.4
39035102300,980,14.7,31.7,22.9,11.2,19.5
39035102401,853,11.4,30.2,18.2,7.6,32.6
39035102402,1094,9,27.8,23,11.5,28.6
39035102700,1213,12.8,24.6,17.6,14.9,30.1
39035102800,567,15.7,22.9,32.3,10.8,18.3
39035102900,688,7.6,34.7,22.4,14.4,20.9
39035103100,555,29,27,14.6,8.6,20.7
39035103300,1068,44.3,23.5,21.4,1.9,8.9
39035103400,1169,29.3,25.3,27,7.5,10.8
39035103500,865,41.6,22.7,21.2,5.2,9.4
39035103602,1677,57.1,14.7,17.7,4.4,6.1
39035103800,656,19.8,29.9,23.2,7.2,20
39035103900,622,25.7,24.1,15.1,11.9,23.2
39035104100,365,26.6,19.7,15.1,13.2,25.5
39035104200,747,44.7,32.5,14.2,3.2,5.4
39035104300,1299,64.5,9.8,14.2,7.2,4.4
39035104400,713,37,19.8,23.1,5.3,14.7
39035104600,404,14.4,33.2,23.3,5,24.3
39035104800,866,15.7,23.3,20.8,4.3,35.9
39035104900,766,15.8,23,23.8,10.7,26.8
39035105100,1268,10.4,30.5,24.8,10.9,23.3
39035105300,763,7.7,19.9,22.9,15.1,34.3
39035105400,1411,20.6,33.1,24.2,6.6,15.5
39035105500,882,15.9,21.1,26.6,7.3,29.1
39035105602,941,15.3,29.1,23.2,13.1,19.3
39035105700,1665,22.8,15.2,45.3,7,9.7
39035105900,1555,36.7,20.8,16.8,8.2,17.6
39035106100,1940,32.4,21.4,23.5,4.3,18.4
39035106200,1737,22.4,27.6,23.8,2.6,23.5
39035106300,1350,14.3,29.8,23.7,11.7,20.5
39035106400,501,28.7,19.8,13.6,16.4,21.6
39035106500,1290,29.4,14.4,20.9,15.7,19.5
39035106600,1730,21.9,16.7,31.7,5.8,23.9
39035106800,1035,6.8,40.6,26.5,3,23.2
39035106900,1925,30.8,19.8,23.8,5.6,20.1
39035107000,922,36.7,16.2,27.8,5.3,14.1
39035107101,1952,74.6,7.4,16.3,0.7,1.1
39035107701,1511,64.1,10.7,13.1,3.3,8.8
39035107802,1457,58.4,14.4,16.9,0.8,9.5
39035108201,721,59.4,19.1,12.5,1.5,7.5
39035108301,829,20,35.1,25.6,3.9,15.4
39035108400,468,22,29.7,20.5,5.6,22.2
39035108701,668,39.1,31.4,11.5,0.4,17.5
39035109301,374,19.8,37.4,18.2,10.7,13.9
39035109701,370,1.6,60,21.4,0,17
39035109801,373,3.5,61.9,16.4,1.9,16.4
39035110501,228,19.3,30.7,22.8,6.6,20.6
39035110801,424,8.7,29.2,31.6,12.5,17.9
39035110901,901,18.4,22,22.6,7.2,29.7
39035111202,619,7.9,42.2,17.8,6.3,25.8
39035111401,335,22.1,46.9,22.4,0,8.7
39035111500,342,22.2,17.8,22.8,12.6,24.6
39035111600,257,12.8,37.7,8.6,3.5,37.4
39035111700,302,20.9,39.7,13.6,9.9,15.9
39035111800,299,6.7,37.8,37.5,5,13
39035111902,154,16.2,33.8,37,3.2,9.7
39035112100,349,16.9,34.1,12.9,0,36.1
39035112200,240,9.6,37.1,25,6.7,21.7
39035112301,331,31.4,17.2,23,0,28.4
39035112400,530,27.7,32.5,24.5,7,8.3
39035112500,374,22.2,34.8,17.9,7.8,17.4
39035112600,249,12.4,30.9,29.3,4.4,22.9
39035112800,208,42.8,31.3,2.4,15.4,8.2
39035113101,112,9.8,74.1,4.5,0,11.6
39035113500,290,11,55.5,22.4,0,11
39035113600,295,21.7,42,20,4.1,12.2
39035113801,370,20,32.2,28.4,2.2,17.3
39035114100,169,22.5,53.3,0,3,21.3
39035114300,301,9.6,22.6,44.2,0,23.6
39035114501,398,19.1,49,22.1,8.3,1.5
39035114600,392,19.4,33.7,21.2,9.7,16.1
39035114700,130,25.4,26.2,40.8,0,7.7
39035114900,578,23.9,28.4,24,0,23.7
39035115100,418,17.9,15.8,32.5,16.3,17.5
39035115200,303,9.6,46.5,18.2,5.3,20.5
39035115300,281,12.8,38.4,23.5,4.6,20.6
39035115400,575,27.1,28.3,21.7,4,18.8
39035115700,433,15.2,35.3,22.9,6.7,19.9
39035115800,960,13,14.7,20.1,11.4,40.8
39035115900,1505,23.9,28.8,26.7,6.5,14.2
39035116100,244,32.8,29.1,26.2,4.1,7.8
39035116200,319,26.6,33.2,22.3,2.5,15.4
39035116300,556,17.1,41.5,29.7,1.3,10.4
39035116400,831,14.1,32.6,19.7,3.7,29.8
39035116500,680,10.6,49,30.3,2.6,7.5
39035116600,739,22.3,32.7,24.9,2.2,17.9
39035116700,431,30.9,29.2,17.9,2.6,19.5
39035116800,842,16.7,31.8,32.8,5.5,13.2
39035116900,328,14.6,30.2,34.1,2.1,18.9
